DateKey,FullDate,Year,Quarter,Month,MonthName,Week,DayOfWeek,DayName,IsWeekend
20240101,2024-01-01,2024,1,1,January,1,1,Monday,false
20240102,2024-01-02,2024,1,1,January,1,2,Tuesday,false
20240103,2024-01-03,2024,1,1,January,1,3,Wednesday,false
20240104,2024-01-04,2024,1,1,January,1,4,Thursday,false
20240105,2024-01-05,2024,1,1,January,1,5,Friday,false
20240106,2024-01-06,2024,1,1,January,1,6,Saturday,true
20240107,2024-01-07,2024,1,1,January,1,7,Sunday,true
20240108,2024-01-08,2024,1,1,January,2,1,Monday,false
20240109,2024-01-09,2024,1,1,January,2,2,Tuesday,false
20240110,2024-01-10,2024,1,1,January,2,3,Wednesday,false
20240111,2024-01-11,2024,1,1,January,2,4,Thursday,false
20240112,2024-01-12,2024,1,1,January,2,5,Friday,false
20240113,2024-01-13,2024,1,1,January,2,6,Saturday,true
20240114,2024-01-14,2024,1,1,January,2,7,Sunday,true
20240115,2024-01-15,2024,1,1,January,3,1,Monday,false
20240116,2024-01-16,2024,1,1,January,3,2,Tuesday,false
20240117,2024-01-17,2024,1,1,January,3,3,Wednesday,false
20240118,2024-01-18,2024,1,1,January,3,4,Thursday,false
20240119,2024-01-19,2024,1,1,January,3,5,Friday,false
20240120,2024-01-20,2024,1,1,January,3,6,Saturday,true
20240121,2024-01-21,2024,1,1,January,3,7,Sunday,true
20240122,2024-01-22,2024,1,1,January,4,1,Monday,false
20240123,2024-01-23,2024,1,1,January,4,2,Tuesday,false
20240124,2024-01-24,2024,1,1,January,4,3,Wednesday,false
20240125,2024-01-25,2024,1,1,January,4,4,Thursday,false
20240126,2024-01-26,2024,1,1,January,4,5,Friday,false
20240127,2024-01-27,2024,1,1,January,4,6,Saturday,true
20240128,2024-01-28,2024,1,1,January,4,7,Sunday,true
20240129,2024-01-29,2024,1,1,January,5,1,Monday,false
20240130,2024-01-30,2024,1,1,January,5,2,Tuesday,false
20240131,2024-01-31,2024,1,1,January,5,3,Wednesday,false
20240201,2024-02-01,2024,1,2,February,5,4,Thursday,false
20240202,2024-02-02,2024,1,2,February,5,5,Friday,false
20240203,2024-02-03,2024,1,2,February,5,6,Saturday,true
20240204,2024-02-04,2024,1,2,February,5,7,Sunday,true
20240205,2024-02-05,2024,1,2,February,6,1,Monday,false
20240206,2024-02-06,2024,1,2,February,6,2,Tuesday,false
20240207,2024-02-07,2024,1,2,February,6,3,Wednesday,false
20240208,2024-02-08,2024,1,2,February,6,4,Thursday,false
20240209,2024-02-09,2024,1,2,February,6,5,Friday,false
20240210,2024-02-10,2024,1,2,February,6,6,Saturday,true
20240211,2024-02-11,2024,1,2,February,6,7,Sunday,true
20240212,2024-02-12,2024,1,2,February,7,1,Monday,false
20240213,2024-02-13,2024,1,2,February,7,2,Tuesday,false
20240214,2024-02-14,2024,1,2,February,7,3,Wednesday,false
20240215,2024-02-15,2024,1,2,February,7,4,Thursday,false
20240216,2024-02-16,2024,1,2,February,7,5,Friday,false
20240217,2024-02-17,2024,1,2,February,7,6,Saturday,true
20240218,2024-02-18,2024,1,2,February,7,7,Sunday,true
20240219,2024-02-19,2024,1,2,February,8,1,Monday,false
20240220,2024-02-20,2024,1,2,February,8,2,Tuesday,false
20240221,2024-02-21,2024,1,2,February,8,3,Wednesday,false
20240222,2024-02-22,2024,1,2,February,8,4,Thursday,false
20240223,2024-02-23,2024,1,2,February,8,5,Friday,false
20240224,2024-02-24,2024,1,2,February,8,6,Saturday,true
20240225,2024-02-25,2024,1,2,February,8,7,Sunday,true
20240226,2024-02-26,2024,1,2,February,9,1,Monday,false
20240227,2024-02-27,2024,1,2,February,9,2,Tuesday,false
20240228,2024-02-28,2024,1,2,February,9,3,Wednesday,false
20240229,2024-02-29,2024,1,2,February,9,4,Thursday,false
20240301,2024-03-01,2024,1,3,March,9,5,Friday,false
20240302,2024-03-02,2024,1,3,March,9,6,Saturday,true
20240303,2024-03-03,2024,1,3,March,9,7,Sunday,true
20240304,2024-03-04,2024,1,3,March,10,1,Monday,false
20240305,2024-03-05,2024,1,3,March,10,2,Tuesday,false
20240306,2024-03-06,2024,1,3,March,10,3,Wednesday,false
20240307,2024-03-07,2024,1,3,March,10,4,Thursday,false
20240308,2024-03-08,2024,1,3,March,10,5,Friday,false
20240309,2024-03-09,2024,1,3,March,10,6,Saturday,true
20240310,2024-03-10,2024,1,3,March,10,7,Sunday,true
20240311,2024-03-11,2024,1,3,March,11,1,Monday,false
20240312,2024-03-12,2024,1,3,March,11,2,Tuesday,false
20240313,2024-03-13,2024,1,3,March,11,3,Wednesday,false
20240314,2024-03-14,2024,1,3,March,11,4,Thursday,false
20240315,2024-03-15,2024,1,3,March,11,5,Friday,false
20240316,2024-03-16,2024,1,3,March,11,6,Saturday,true
20240317,2024-03-17,2024,1,3,March,11,7,Sunday,true
20240318,2024-03-18,2024,1,3,March,12,1,Monday,false
20240319,2024-03-19,2024,1,3,March,12,2,Tuesday,false
20240320,2024-03-20,2024,1,3,March,12,3,Wednesday,false
20240321,2024-03-21,2024,1,3,March,12,4,Thursday,false
20240322,2024-03-22,2024,1,3,March,12,5,Friday,false
20240323,2024-03-23,2024,1,3,March,12,6,Saturday,true
20240324,2024-03-24,2024,1,3,March,12,7,Sunday,true
20240325,2024-03-25,2024,1,3,March,13,1,Monday,false
20240326,2024-03-26,2024,1,3,March,13,2,Tuesday,false
20240327,2024-03-27,2024,1,3,March,13,3,Wednesday,false
20240328,2024-03-28,2024,1,3,March,13,4,Thursday,false
20240329,2024-03-29,2024,1,3,March,13,5,Friday,false
20240330,2024-03-30,2024,1,3,March,13,6,Saturday,true
20240331,2024-03-31,2024,1,3,March,13,7,Sunday,true
20240401,2024-04-01,2024,2,4,April,14,1,Monday,false
20240402,2024-04-02,2024,2,4,April,14,2,Tuesday,false
20240403,2024-04-03,2024,2,4,April,14,3,Wednesday,false
20240404,2024-04-04,2024,2,4,April,14,4,Thursday,false
20240405,2024-04-05,2024,2,4,April,14,5,Friday,false
20240406,2024-04-06,2024,2,4,April,14,6,Saturday,true
20240407,2024-04-07,2024,2,4,April,14,7,Sunday,true
20240408,2024-04-08,2024,2,4,April,15,1,Monday,false
20240409,2024-04-09,2024,2,4,April,15,2,Tuesday,false
20240410,2024-04-10,2024,2,4,April,15,3,Wednesday,false
20240411,2024-04-11,2024,2,4,April,15,4,Thursday,false
20240412,2024-04-12,2024,2,4,April,15,5,Friday,false
20240413,2024-04-13,2024,2,4,April,15,6,Saturday,true
20240414,2024-04-14,2024,2,4,April,15,7,Sunday,true
20240415,2024-04-15,2024,2,4,April,16,1,Monday,false
20240416,2024-04-16,2024,2,4,April,16,2,Tuesday,false
20240417,2024-04-17,2024,2,4,April,16,3,Wednesday,false
20240418,2024-04-18,2024,2,4,April,16,4,Thursday,false
20240419,2024-04-19,2024,2,4,April,16,5,Friday,false
20240420,2024-04-20,2024,2,4,April,16,6,Saturday,true
20240421,2024-04-21,2024,2,4,April,16,7,Sunday,true
20240422,2024-04-22,2024,2,4,April,17,1,Monday,false
20240423,2024-04-23,2024,2,4,April,17,2,Tuesday,false
20240424,2024-04-24,2024,2,4,April,17,3,Wednesday,false
20240425,2024-04-25,2024,2,4,April,17,4,Thursday,false
20240426,2024-04-26,2024,2,4,April,17,5,Friday,false
20240427,2024-04-27,2024,2,4,April,17,6,Saturday,true
20240428,2024-04-28,2024,2,4,April,17,7,Sunday,true
20240429,2024-04-29,2024,2,4,April,18,1,Monday,false
20240430,2024-04-30,2024,2,4,April,18,2,Tuesday,false
20240501,2024-05-01,2024,2,5,May,18,3,Wednesday,false
20240502,2024-05-02,2024,2,5,May,18,4,Thursday,false
20240503,2024-05-03,2024,2,5,May,18,5,Friday,false
20240504,2024-05-04,2024,2,5,May,18,6,Saturday,true
