SaleID,CustomerID,ProductID,SaleDate,Amount,Quantity,Region,Status,SalesRep,Channel,Discount,Currency
21870,C0117,P015,2024-06-02,15979.6,8,South Asia,completed,REP017,Direct,0.23,USD
25044,C0117,P030,2024-06-02,10759.59,6,Middle East,completed,REP020,Direct,0.12,INR
20289,C0091,P014,2024-06-02,5897.97,9,North America,completed,REP018,Partner,0.08,EUR
25488,C0187,P007,2024-06-02,24565.66,9,South Asia,completed,REP011,Online,0.03,GBP
23617,C0077,P034,2024-06-02,3020.39,1,South Asia,completed,REP017,Direct,0.16,INR
24297,C0179,P008,2024-06-02,2795.34,9,Africa,completed,REP022,In-Store,0.22,GBP
22617,C0055,P043,2024-06-02,2860.91,4,Europe,completed,REP015,Online,0.23,INR
20694,C0194,P013,2024-06-02,657.44,5,North America,completed,REP025,In-Store,0.23,EUR
23815,C0078,P013,2024-06-02,671.46,5,Southeast Asia,completed,REP010,Direct,0.2,GBP
25001,C0173,P008,2024-06-02,296.25,1,Southeast Asia,completed,REP028,Partner,0.03,GBP
25280,C0005,P044,2024-06-02,9237.12,10,North America,completed,REP025,Online,0.24,INR
20447,C0112,P013,2024-06-02,1247.01,10,North America,completed,REP016,Online,0.12,USD
22504,C0075,P029,2024-06-02,20620.29,8,South Asia,completed,REP003,In-Store,0.2,USD
20431,C0015,P040,2024-06-02,8865.54,5,Africa,completed,REP018,Online,0.04,INR
23355,C0114,P038,2024-06-02,11653.22,6,Africa,completed,REP006,Online,0.04,EUR
22594,C0177,P003,2024-06-02,6910.82,8,North America,completed,REP011,In-Store,0.08,USD
22193,C0149,P034,2024-06-02,19668.2,7,North America,completed,REP004,Direct,0.17,USD
20040,C0137,P043,2024-06-02,1420.75,2,Middle East,completed,REP009,Direct,0.01,USD
22106,C0082,P018,2024-06-02,9230.93,5,Africa,completed,REP004,Direct,0.11,GBP
23133,C0068,P023,2024-06-02,4223.92,4,Europe,completed,REP018,In-Store,0.04,INR
25302,C0182,P015,2024-06-02,18925.15,10,Middle East,completed,REP011,Partner,0.05,USD
21915,C0128,P012,2024-06-02,1487.61,1,Europe,completed,REP022,In-Store,0.19,USD
23187,C0188,P017,2024-06-02,4820.12,7,Middle East,completed,REP012,Partner,0.15,USD
20770,C0077,P031,2024-06-02,17064.81,7,Europe,completed,REP013,Partner,0.02,USD
21016,C0200,P032,2024-06-02,11071.48,5,North America,completed,REP007,Online,0.23,INR
24027,C0105,P011,2024-06-02,727.0,1,Africa,completed,REP015,Direct,0.12,USD
21056,C0192,P022,2024-06-02,4195.48,2,Southeast Asia,completed,REP019,In-Store,0.2,USD
21860,C0093,P017,2024-06-02,5767.88,8,Southeast Asia,completed,REP018,Partner,0.07,USD
21268,C0152,P020,2024-06-02,564.39,8,Middle East,completed,REP014,Partner,0.21,USD
24432,C0133,P029,2024-06-02,2491.94,1,Europe,completed,REP027,Direct,0.09,USD
22044,C0146,P041,2024-06-02,2161.35,1,South Asia,completed,REP015,In-Store,0.19,INR
22517,C0040,P008,2024-06-02,1200.77,4,South Asia,completed,REP022,Online,0.02,EUR
20183,C0047,P015,2024-06-02,18949.61,10,North America,completed,REP009,Partner,0.16,INR
20135,C0137,P038,2024-06-02,5725.08,3,South Asia,completed,REP019,Direct,0.11,INR
21743,C0017,P027,2024-06-02,989.03,3,Africa,completed,REP021,Online,0.02,USD
21972,C0072,P022,2024-06-02,2090.59,1,Southeast Asia,completed,REP012,In-Store,0.04,EUR
22689,C0005,P038,2024-06-02,9266.93,5,Southeast Asia,completed,REP023,In-Store,0.12,EUR
25120,C0104,P033,2024-06-02,6480.82,4,Southeast Asia,completed,REP009,Direct,0.02,USD
24877,C0152,P011,2024-06-02,2821.14,4,North America,cancelled,REP021,In-Store,0.17,GBP
23117,C0099,P034,2024-06-02,14107.79,5,North America,completed,REP026,Partner,0.0,USD
20230,C0190,P017,2024-06-02,3335.47,5,South Asia,completed,REP027,Partner,0.17,EUR
21105,C0076,P015,2024-06-02,7591.69,4,North America,completed,REP011,Online,0.01,USD
21452,C0018,P032,2024-06-02,21735.39,10,South Asia,completed,REP010,In-Store,0.06,USD
22966,C0050,P044,2024-06-02,1765.9,2,North America,completed,REP026,In-Store,0.19,USD
21871,C0101,P021,2024-06-02,,7,Africa,completed,REP015,Partner,0.16,USD
24913,C0199,P017,2024-06-02,6044.3,9,Europe,completed,REP017,Direct,0.02,USD
20346,C0024,P041,2024-06-02,11116.97,5,North America,completed,REP009,Direct,0.25,INR
22781,C0185,P031,2024-06-02,23219.98,10,Africa,completed,REP023,Partner,0.06,INR
25441,C0146,P002,2024-06-02,777.78,6,North America,completed,REP029,Direct,0.01,EUR
25003,C0049,P046,2024-06-02,5975.55,8,North America,completed,REP024,In-Store,0.0,EUR
22431,C0096,P036,2024-06-02,6738.17,4,Southeast Asia,completed,REP009,In-Store,0.06,USD
24680,C0121,P018,2024-06-02,17567.26,10,North America,cancelled,REP005,Direct,0.21,GBP
24788,C0186,P010,2024-06-02,826.44,6,Europe,completed,REP010,In-Store,0.16,USD
25146,C0094,P040,2024-06-02,5441.78,3,South Asia,completed,REP019,Online,0.19,INR
